customerid,subscription_start_date,subscription_type,renewal_date,plan_type,contract_type,cancellation_date,cancellation_reason,monthly_charges,cltv,churn_score,churn_flag,customer_name,country,state,gender,dob,complaint_date,escalations,csat_score,complaint_count
9075-BDDBV,2022-11-06,Referral,2023-11-06,Premium,Annual,2023-07-16,Switched to competitor,22.99,183.92,84,1,Aditi,India,Tamil Nadu,Female,2002-05-04,2023-05-15,N,60.0,1.0
5899-MQJAT,2022-10-04,Referral,2023-10-04,Basic,Monthly,,,7.99,311.61,45,0,Priya,India,Maharashtra,Female,1964-01-10,,,,
1198-VGWQP,2022-08-13,Paid,2023-08-13,Premium,Annual,,,22.99,942.59,38,0,Riya,India,Madhya Pradesh,Female,1970-10-15,,,,
3384-MELLR,2022-06-28,Paid,2023-06-28,Basic,Annual,2024-02-23,Too expensive,6.99,139.8,68,1,Diya,India,Kerala,Female,1991-08-19,2023-01-03,N,80.0,2.0
8294-TILDY,2022-10-09,Referral,2023-10-09,Standard,Monthly,,,13.99,545.61,24,0,Mohan,India,Delhi,Female,1993-10-14,,,,
3294-YGKGW,2023-12-14,Organic,2024-12-14,Premium,Annual,,,22.99,551.76,83,0,Priya,India,Kerala,Female,1966-06-17,2024-06-30,Y,50.0,1.0
7045-QALVM,2023-08-02,Referral,2024-08-02,Standard,Annual,,,13.99,405.71,9,0,Aditya,India,Kerala,Female,1969-08-05,,,,
1897-YSOKK,2021-07-07,Paid,2022-07-07,Premium,Monthly,,,22.99,1241.46,5,0,Pooja,India,Telangana,Female,1987-10-04,,,,
9646-NVVDS,2021-02-21,Paid,2022-02-21,Basic,Monthly,,,7.99,471.41,35,0,Diya,India,Bihar,Male,1984-06-12,,,,
9074-FVMGP,2020-03-12,Referral,2021-03-12,Premium,Annual,,,23.99,1679.3,5,0,Vishal,India,Delhi,Female,2001-11-28,,,,
1414-ODKTL,2022-07-25,Paid,2023-07-25,Basic,Monthly,,,6.99,286.59,42,0,Meera,India,Karnataka,Male,2002-09-04,,,,
8755-YKHUK,2021-10-01,Referral,2022-10-01,Basic,Annual,,,6.99,356.49,30,0,Sakshi,India,Tamil Nadu,Male,1962-04-26,,,,
1915-NTFYU,2022-11-18,Referral,2023-11-18,Standard,Monthly,2023-07-03,Too expensive,13.99,97.93,59,1,Arjun,India,Tamil Nadu,Female,1970-01-20,,,,
4547-DZIWI,2020-07-25,Referral,2021-07-25,Premium,Monthly,,,22.99,1517.34,75,0,Pooja,India,Madhya Pradesh,Male,1971-07-08,,,,
3129-DEJNH,2021-05-06,Organic,2022-05-06,Premium,Annual,,,22.99,1287.44,15,0,Varun,India,Maharashtra,Female,1971-09-07,,,,
3724-VXBYF,2019-04-21,Organic,2020-04-21,Standard,Monthly,,,13.99,1133.19,25,0,Nikhil,India,Telangana,Male,1976-12-22,,,,
5241-MEZIB,2024-06-18,Referral,2025-06-18,Premium,Annual,2026-01-27,Forgot to cancel trial,24.99,474.81,59,1,Aarav,India,Punjab,Male,1960-12-12,,,,
4803-BWPWH,2019-11-14,Organic,2020-11-14,Premium,Monthly,2021-05-08,Forgot to cancel trial,24.99,449.82,41,1,Aditi,India,Karnataka,Male,1988-05-10,,,,
1178-KDJVM,2021-01-01,Organic,2022-01-01,Premium,Annual,,,23.99,1439.4,7,0,Sakshi,India,Kerala,Female,2000-06-16,,,,
3420-WANWU,2023-11-25,Paid,2024-11-25,Premium,Annual,,,23.99,599.75,36,0,Ishaan,India,Gujarat,Male,1993-09-30,,,,
0376-WULZM,2020-11-01,Organic,2021-11-01,Premium,Monthly,,,22.99,1425.38,67,0,Sakshi,India,Uttar Pradesh,Female,2000-12-29,2023-07-31,N,70.0,2.0
2062-CJAON,2022-10-05,Paid,2023-10-05,Premium,Monthly,,,22.99,896.61,67,0,Shreya,India,Bihar,Female,2002-11-04,2024-04-23,Y,40.0,1.0
4089-WOHNZ,2024-04-02,Referral,2025-04-02,Standard,Monthly,,,13.99,293.79,9,0,Tanvi,India,Madhya Pradesh,Male,1970-12-10,,,,
2570-PQAMI,2024-12-14,Organic,2025-12-14,Premium,Annual,,,24.99,299.88,10,0,Aditya,India,Uttar Pradesh,Male,2002-12-08,,,,
5570-PSAOD,2023-10-23,Organic,2024-10-23,Premium,Monthly,,,22.99,597.74,61,0,Shreya,India,Telangana,Female,1993-10-14,2025-11-14,N,70.0,1.0
0490-QTRKE,2019-06-19,Organic,2020-06-19,Standard,Annual,,,13.99,1105.21,36,0,Pooja,India,Karnataka,Female,1971-04-01,,,,
8704-LFEBY,2022-04-28,Referral,2023-04-28,Standard,Annual,,,14.99,659.56,45,0,Priya,India,Bihar,Male,1966-05-27,,,,
2374-RFLUK,2023-10-22,Organic,2024-10-22,Standard,Monthly,,,13.99,363.74,99,0,Meera,India,Odisha,Female,1978-02-07,2025-12-17,Y,30.0,3.0
1410-ZURMA,2022-11-12,Paid,2023-11-12,Standard,Monthly,,,15.99,607.62,59,0,Aditi,India,West Bengal,Female,1986-01-18,2025-10-22,N,90.0,1.0
3558-RPQVV,2024-09-12,Organic,2025-09-12,Premium,Monthly,,,24.99,374.85,15,0,Aarav,India,Odisha,Female,1976-04-23,,,,
6896-MQKWR,2019-05-06,Paid,2020-05-06,Premium,Monthly,2019-09-16,Too expensive,22.99,91.96,77,1,Priya,India,West Bengal,Female,1980-02-18,,,,
0608-MYPBM,2022-11-26,Paid,2023-11-26,Standard,Monthly,,,14.99,554.63,51,0,Aditi,India,Uttar Pradesh,Male,1987-04-14,,,,
6336-DAREK,2023-07-12,Referral,2024-07-12,Basic,Annual,,,6.99,209.7,9,0,Aditi,India,Madhya Pradesh,Male,2002-12-28,,,,
4331-VPLOI,2024-08-21,Paid,2025-08-21,Standard,Monthly,2024-12-06,Not enough content,13.99,41.97,84,1,Nikhil,India,Karnataka,Male,1999-08-13,,,,
4086-TSUBV,2023-10-28,Paid,2024-10-28,Standard,Annual,2024-08-12,Too expensive,15.99,143.91,52,1,Diya,India,Rajasthan,Female,1967-06-14,2024-01-15,Y,10.0,1.0
8403-LRNGF,2022-01-17,Paid,2023-01-17,Premium,Monthly,,,22.99,1103.52,23,0,Pooja,India,Rajasthan,Female,1972-09-03,,,,
5601-DRTZN,2019-01-23,Organic,2020-01-23,Basic,Annual,2021-03-31,Not enough content,6.99,181.74,20,1,Diya,India,Bihar,Male,1962-06-21,,,,
1063-YWYKX,2021-10-08,Paid,2022-10-08,Premium,Monthly,,,22.99,1172.49,62,0,Kavya,India,Gujarat,Male,1981-10-22,,,,
0575-QTNJM,2024-11-13,Referral,2025-11-13,Premium,Annual,,,22.99,298.87,59,0,Varun,India,Kerala,Male,1973-04-27,,,,
2619-VUXYZ,2024-01-02,Organic,2025-01-02,Basic,Monthly,,,8.99,215.76,3,0,Nikhil,India,West Bengal,Female,1981-08-09,,,,
7008-NHCXS,2024-08-15,Organic,2025-08-15,Premium,Monthly,,,22.99,367.84,72,0,Priya,India,Telangana,Female,1964-01-11,,,,
5398-LMYDX,2023-01-19,Paid,2024-01-19,Premium,Annual,2024-08-01,Poor streaming quality,24.99,449.82,77,1,Riya,India,Karnataka,Female,1962-04-01,2024-03-15,N,70.0,1.0
5783-TYUSF,2019-05-04,Organic,2020-05-04,Basic,Monthly,2021-07-27,Not enough content,6.99,188.73,76,1,Rohan,India,Tamil Nadu,Male,1976-06-06,,,,
4316-MXQJM,2019-10-26,Organic,2020-10-26,Standard,Annual,,,13.99,1049.25,12,0,Ishaan,India,Bihar,Female,1983-03-06,2024-10-18,N,80.0,1.0
1086-AZOCR,2023-08-06,Paid,2024-08-06,Premium,Monthly,2024-02-02,Too expensive,22.99,137.94,74,1,Sakshi,India,Karnataka,Female,1976-04-08,,,,
6386-BAUOD,2020-02-17,Paid,2021-02-17,Basic,Annual,2021-11-11,Too expensive,6.99,146.79,76,1,Vishal,India,Rajasthan,Female,2002-01-18,2021-05-28,N,60.0,2.0
3678-TICGB,2021-02-18,Organic,2022-02-18,Standard,Annual,2021-11-16,Forgot to cancel trial,14.99,134.91,65,1,Priya,India,Telangana,Female,2005-05-27,2021-04-24,N,100.0,1.0
1480-RXFTN,2021-09-10,Organic,2022-09-10,Premium,Monthly,2021-11-19,Switched to competitor,22.99,45.98,84,1,Rahul,India,Delhi,Female,1964-02-25,2021-10-12,N,100.0,1.0
6817-GTTVY,2021-01-15,Paid,2022-01-15,Basic,Annual,,,7.99,479.4,84,0,Sneha,India,Kerala,Male,1962-04-30,2021-08-10,Y,30.0,1.0
6631-AOQON,2020-09-01,Organic,2021-09-01,Premium,Annual,2021-04-19,Not enough content,24.99,174.93,98,1,Rohan,India,Tamil Nadu,Male,1995-10-21,,,,
5971-ZYSJC,2019-06-03,Referral,2020-06-03,Basic,Monthly,,,7.99,639.2,7,0,Diya,India,Uttar Pradesh,Male,2002-12-30,2020-03-05,N,90.0,1.0
0987-PYHVW,2024-12-02,Paid,2025-12-02,Premium,Annual,,,22.99,298.87,61,0,Riya,India,Telangana,Male,1966-10-16,2025-11-27,N,90.0,1.0
6620-GKNKM,2023-06-03,Paid,2024-06-03,Premium,Annual,,,24.99,774.69,8,0,Mohan,India,Uttar Pradesh,Female,2005-10-06,,,,
4074-MNMSD,2024-01-20,Referral,2025-01-20,Standard,Annual,,,15.99,367.77,37,0,Priya,India,Gujarat,Male,1983-07-26,,,,
3088-WULQB,2024-05-15,Organic,2025-05-15,Basic,Monthly,,,6.99,132.81,83,0,Nikhil,India,West Bengal,Male,1982-08-31,2025-10-11,Y,50.0,1.0
0802-RDJUQ,2021-12-24,Organic,2022-12-24,Standard,Annual,2023-08-05,Not enough content,13.99,265.81,60,1,Riya,India,Punjab,Male,2003-11-28,2022-10-02,N,70.0,1.0
5538-SSYMM,2021-11-06,Referral,2022-11-06,Basic,Annual,2022-06-22,Poor streaming quality,8.99,62.93,94,1,Karan,India,Karnataka,Female,1984-01-05,,,,
1409-DUENL,2022-11-20,Paid,2023-11-20,Standard,Monthly,,,14.99,554.63,46,0,Aditya,India,Tamil Nadu,Male,1970-08-28,,,,
1234-FNPOE,2022-09-22,Referral,2023-09-22,Basic,Annual,,,6.99,272.61,28,0,Neha,India,Bihar,Female,1961-04-17,,,,
4799-VBXNO,2022-07-05,Organic,2023-07-05,Premium,Monthly,,,24.99,1049.58,58,0,Priya,India,Bihar,Female,1970-05-02,,,,
1564-RQGAZ,2021-01-22,Paid,2022-01-22,Basic,Annual,,,6.99,419.4,17,0,Sneha,India,Tamil Nadu,Female,1975-11-02,,,,
5300-ZHXIB,2020-11-12,Paid,2021-11-12,Standard,Monthly,2022-12-19,Poor streaming quality,14.99,374.75,93,1,Sneha,India,Haryana,Female,1999-02-25,,,,
8321-DFLAJ,2021-08-04,Referral,2022-08-04,Premium,Monthly,,,22.99,1218.47,32,0,Akash,India,Haryana,Female,1975-01-13,2023-01-22,N,70.0,1.0
4550-EADCL,2019-12-19,Organic,2020-12-19,Basic,Annual,2020-12-07,Poor streaming quality,6.99,76.89,75,1,Sneha,India,Tamil Nadu,Male,1980-02-08,2020-06-02,N,80.0,1.0
9394-LMWUI,2022-06-05,Paid,2023-06-05,Standard,Monthly,,,13.99,601.57,71,0,Sakshi,India,Kerala,Male,1984-03-17,,,,
0745-JXWBL,2020-12-20,Paid,2021-12-20,Standard,Monthly,2022-04-26,Forgot to cancel trial,13.99,223.84,74,1,Rahul,India,Odisha,Male,1964-09-23,,,,
0784-RWPPL,2019-09-28,Referral,2020-09-28,Standard,Annual,,,13.99,1063.24,62,0,Riya,India,Haryana,Male,2004-02-08,2025-04-03,N,100.0,1.0
1614-MFVZC,2022-11-10,Referral,2023-11-10,Basic,Annual,,,7.99,303.62,38,0,Vishal,India,Rajasthan,Male,1994-11-02,,,,
7512-AVSUH,2022-07-03,Paid,2023-07-03,Premium,Monthly,,,22.99,965.58,71,0,Pooja,India,Bihar,Male,1983-05-19,,,,
7549-UFNOT,2021-04-21,Organic,2022-04-21,Premium,Monthly,,,22.99,1310.43,7,0,Diya,India,Kerala,Male,1988-05-21,,,,
9383-BETHB,2019-05-27,Paid,2020-05-27,Standard,Monthly,,,14.99,1199.2,4,0,Kavya,India,Telangana,Female,1972-10-03,,,,
7180-VYLBZ,2020-02-25,Paid,2021-02-25,Premium,Annual,,,22.99,1632.29,79,0,Neha,India,Odisha,Female,1986-08-19,2025-05-23,Y,50.0,2.0
9748-TVIYV,2023-09-01,Referral,2024-09-01,Standard,Annual,,,14.99,419.72,30,0,Ishaan,India,Telangana,Female,1989-09-01,,,,
7753-PCAIV,2022-03-22,Referral,2023-03-22,Premium,Annual,,,24.99,1149.54,24,0,Ishaan,India,West Bengal,Female,1960-06-20,,,,
2897-NKSNR,2022-11-01,Referral,2023-11-01,Standard,Monthly,2024-12-30,Switched to competitor,13.99,363.74,92,1,Nikhil,India,Kerala,Male,1991-08-01,,,,
2357-UPDIK,2023-01-08,Organic,2024-01-08,Standard,Monthly,2024-01-29,Forgot to cancel trial,15.99,191.88,92,1,Sakshi,India,Madhya Pradesh,Female,1967-02-09,2023-04-27,Y,10.0,1.0
0074-XXRUN,2019-07-20,Organic,2020-07-20,Standard,Annual,,,13.99,1091.22,9,0,Ananya,India,Rajasthan,Female,1975-12-02,,,,
3851-KXTKM,2023-12-19,Paid,2024-12-19,Premium,Annual,2025-11-28,Poor streaming quality,23.99,551.77,79,1,Diya,India,Punjab,Male,2001-01-23,,,,
0320-YFRDZ,2024-01-07,Referral,2025-01-07,Basic,Monthly,,,8.99,215.76,26,0,Aditi,India,Telangana,Female,1983-01-17,,,,
5097-QBSAZ,2019-06-05,Organic,2020-06-05,Basic,Monthly,,,7.99,639.2,13,0,Mohan,India,Karnataka,Male,1961-08-27,,,,
7170-QVKVQ,2024-10-19,Referral,2025-10-19,Standard,Monthly,,,13.99,195.86,3,0,Shreya,India,Bihar,Male,1995-10-16,,,,
1776-PHEDS,2020-12-17,Referral,2021-12-17,Premium,Annual,,,24.99,1524.39,71,0,Akash,India,Madhya Pradesh,Male,1966-10-12,2024-11-04,Y,20.0,1.0
5638-FDFTA,2023-10-07,Referral,2024-10-07,Standard,Monthly,,,14.99,404.73,65,0,Meera,India,Maharashtra,Male,1968-08-07,,,,
8905-LEFPT,2023-07-20,Referral,2024-07-20,Standard,Monthly,,,14.99,434.71,75,0,Nikhil,India,West Bengal,Female,1998-09-21,,,,
8883-XPTXQ,2020-09-04,Referral,2021-09-04,Basic,Monthly,2021-02-10,Not enough content,7.99,39.95,88,1,Meera,India,Uttar Pradesh,Male,1965-07-18,,,,
3959-CFDUC,2023-03-26,Referral,2024-03-26,Premium,Annual,,,24.99,824.67,84,0,Nikhil,India,Kerala,Female,2002-08-04,2024-01-18,Y,20.0,1.0
3192-CPLPN,2023-03-25,Paid,2024-03-25,Premium,Annual,,,24.99,824.67,24,0,Meera,India,Gujarat,Male,1961-05-16,2024-12-01,N,100.0,1.0
8409-IRUKN,2019-12-15,Organic,2020-12-15,Premium,Annual,2021-07-06,Poor streaming quality,22.99,413.82,23,1,Priya,India,West Bengal,Male,1988-10-08,,,,
9666-PPZMJ,2020-01-12,Referral,2021-01-12,Standard,Annual,,,13.99,1007.28,53,0,Mohan,India,Odisha,Female,1965-09-11,,,,
8106-PPIKO,2023-04-02,Organic,2024-04-02,Standard,Annual,,,13.99,461.67,19,0,Priya,India,Delhi,Male,1963-12-22,,,,
0161-ZFHFP,2022-09-27,Paid,2023-09-27,Premium,Monthly,2024-08-14,Poor streaming quality,22.99,505.78,67,1,Arjun,India,Maharashtra,Male,1967-09-21,2022-10-11,N,60.0,1.0
0864-ONOAT,2024-01-02,Paid,2025-01-02,Standard,Monthly,,,13.99,335.76,68,0,Rahul,India,Odisha,Female,1987-11-10,,,,
3544-WHHHS,2022-01-11,Organic,2023-01-11,Premium,Annual,,,22.99,1103.52,15,0,Sakshi,India,Odisha,Male,1963-09-04,,,,
6187-BLQVT,2020-03-02,Paid,2021-03-02,Basic,Monthly,,,7.99,567.29,8,0,Ishaan,India,Karnataka,Male,1997-02-28,,,,
0089-LYOFF,2022-09-06,Referral,2023-09-06,Premium,Annual,,,22.99,919.6,49,0,Aditya,India,Tamil Nadu,Male,2003-04-11,,,,
4584-XYUYK,2024-05-01,Paid,2025-05-01,Basic,Annual,,,6.99,139.8,67,0,Vishal,India,Delhi,Female,1987-12-25,2024-05-07,N,70.0,1.0
7373-WHGZG,2022-10-08,Organic,2023-10-08,Basic,Monthly,,,6.99,272.61,58,0,Pooja,India,Tamil Nadu,Female,1973-04-28,,,,
3926-EFBLX,2024-07-11,Organic,2025-07-11,Premium,Monthly,,,23.99,407.83,2,0,Diya,India,Delhi,Male,1973-03-23,2024-12-22,N,90.0,1.0
0800-GJEIX,2022-01-22,Referral,2023-01-22,Premium,Monthly,,,22.99,1080.53,22,0,Rahul,India,Kerala,Male,1971-07-21,2025-06-17,N,100.0,2.0
1166-EWVKD,2019-06-23,Paid,2020-06-23,Basic,Annual,,,8.99,710.21,4,0,Shreya,India,Delhi,Female,1970-10-10,,,,
9574-HKXIB,2023-05-09,Referral,2024-05-09,Basic,Monthly,,,6.99,223.68,14,0,Mohan,India,Gujarat,Male,1986-11-07,,,,
8563-IPLNW,2023-06-12,Referral,2024-06-12,Standard,Annual,,,13.99,433.69,48,0,Neha,India,Uttar Pradesh,Male,1983-06-22,,,,
5595-AMBLK,2023-01-23,Organic,2024-01-23,Standard,Monthly,,,13.99,489.65,34,0,Shreya,India,Uttar Pradesh,Male,1976-07-05,,,,
5560-TTTGF,2021-08-05,Paid,2022-08-05,Standard,Annual,,,14.99,794.47,75,0,Ishaan,India,Punjab,Male,1989-06-26,2023-12-08,Y,10.0,2.0
9637-ZDGUX,2021-06-05,Paid,2022-06-05,Standard,Monthly,2023-08-20,Poor streaming quality,13.99,363.74,87,1,Varun,India,Delhi,Female,1961-05-06,2021-09-26,Y,60.0,1.0
4262-GSEFL,2024-03-15,Paid,2025-03-15,Standard,Monthly,,,13.99,293.79,60,0,Aditi,India,Maharashtra,Female,1984-09-12,,,,
5437-DSEND,2021-10-13,Paid,2022-10-13,Basic,Monthly,,,7.99,407.49,20,0,Mohan,India,Maharashtra,Male,1973-10-03,,,,
8675-FZDFI,2021-10-05,Referral,2022-10-05,Standard,Annual,2023-07-11,Not enough content,14.99,314.79,91,1,Shreya,India,Haryana,Male,1994-01-15,2022-06-30,Y,40.0,1.0
